month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,W1,85,39,46,8.000000000043883,0.0941176470593398,0.4588235294117647
2025-01,W2,35,18,17,46.00000000001785,1.3142857142862243,0.5142857142857142
2025-02,W1,67,29,38,-31.999999999965212,-0.47761194029798826,0.43283582089552236
2025-02,W2,10,2,8,-55.99999999999454,-5.599999999999454,0.2
2025-03,W1,75,34,41,-1.9999999999612328,-0.02666666666614977,0.4533333333333333
2025-03,W2,24,9,15,-41.99999999998738,-1.7499999999994742,0.375
2025-04,W1,75,26,49,-177.99999999996032,-2.373333333332804,0.3466666666666667
2025-04,W2,9,3,6,-23.999999999995225,-2.6666666666661363,0.3333333333333333
2025-05,W1,83,35,48,-59.9999999999568,-0.7228915662645398,0.42168674698795183
2025-05,W2,26,9,17,-61.999999999986244,-2.3846153846148557,0.34615384615384615
2025-06,W1,69,33,36,36.00000000003547,0.5217391304352966,0.4782608695652174
2025-06,W2,23,5,18,-119.9999999999875,-5.217391304347283,0.21739130434782608
2025-07,W1,68,27,41,-85.99999999996442,-1.264705882352418,0.39705882352941174
2025-07,W2,17,8,9,6.000000000008754,0.3529411764711032,0.47058823529411764
2025-08,W1,67,33,34,56.00000000003433,0.8358208955229005,0.4925373134328358
2025-08,W2,36,14,22,-51.99999999998113,-1.4444444444439202,0.3888888888888889
2025-09,W1,58,25,33,-29.999999999969873,-0.5172413793098254,0.43103448275862066
2025-09,W2,27,10,17,-49.99999999998579,-1.8518518518513256,0.37037037037037035
2025-10,W1,80,37,43,14.000000000041268,0.17500000000051585,0.4625
2025-10,W2,25,11,14,-7.99999999998704,-0.3199999999994816,0.44
2025-11,W1,57,26,31,2.000000000029445,0.03508771929876219,0.45614035087719296
2025-11,W2,28,11,17,-37.999999999985334,-1.3571428571423334,0.39285714285714285
2025-12,W1,28,14,14,28.000000000014325,1.0000000000005116,0.5
2025-12,W2,13,6,7,2.0000000000067075,0.1538461538466698,0.46153846153846156
