hyp,verify_sum_pnl_pips,forward_sum_pnl_pips,trades,judge
C101,-515.9999999997751,-323.9999999998133,358,dead
C102,-911.9999999996026,-253.99999999957856,813,conditional
C103,-515.9999999997751,-323.9999999998133,358,dead
