run_id,experiment_id,period,trade_count,session_pnl_range,session_pnl_std,symbol,only_session,use_time_filter,use_h1_trend_filter,run_tag,group_key,config_path
hyp001_2024-01_2024-12_20251216_042024,hyp001,2024-01..2024-12,640,172.000000,86.000000,USDJPY,,1,1,hyp001,hyp001|2024-01..2024-12|,FX/results/hyp001_2024-01_2024-12_20251216_042024/config.json
hyp001_2025-01_2025-12_20251216_042042,hyp001,2025-01..2025-12,540,120.000000,60.000000,USDJPY,,1,1,hyp001,hyp001|2025-01..2025-12|,FX/results/hyp001_2025-01_2025-12_20251216_042042/config.json
hyp002_sess_W2_2024-01_2024-12_20251216_035947,hyp002,2024-01..2024-12,452,0.000000,0.000000,USDJPY,W2,1,1,hyp002,hyp002|2024-01..2024-12|W2,FX/results/hyp002_sess_W2_2024-01_2024-12_20251216_035947/config.json
hyp002_sess_W2_2024-01_2024-12_20251216_040149,hyp002,2024-01..2024-12,452,0.000000,0.000000,USDJPY,W2,1,1,hyp002,hyp002|2024-01..2024-12|W2,FX/results/hyp002_sess_W2_2024-01_2024-12_20251216_040149/config.json
hyp002_sess_W2_2025-01_2025-12_20251216_040206,hyp002,2025-01..2025-12,347,436.000000,218.000000,USDJPY,W2,1,1,hyp002,hyp002|2025-01..2025-12|W2,FX/results/hyp002_sess_W2_2025-01_2025-12_20251216_040206/config.json
hyp003_2024-01_2024-12_20251216_050232,hyp003,2024-01..2024-12,1034,624.000000,312.000000,USDJPY,,1,0,hyp003,hyp003|2024-01..2024-12|,FX/results/hyp003_2024-01_2024-12_20251216_050232/config.json
hyp003_2025-01_2025-12_20251216_050248,hyp003,2025-01..2025-12,1033,40.000000,20.000000,USDJPY,,1,0,hyp003,hyp003|2025-01..2025-12|,FX/results/hyp003_2025-01_2025-12_20251216_050248/config.json
hyp004_2024-01_2024-12_20251216_050312,hyp004,2024-01..2024-12,717,252.000000,126.000000,USDJPY,,1,1,hyp004,hyp004|2024-01..2024-12|,FX/results/hyp004_2024-01_2024-12_20251216_050312/config.json
hyp004_2025-01_2025-12_20251216_050328,hyp004,2025-01..2025-12,610,4.000000,2.000000,USDJPY,,1,1,hyp004,hyp004|2025-01..2025-12|,FX/results/hyp004_2025-01_2025-12_20251216_050328/config.json
hyp005_2024-01_2024-12_20251216_050352,hyp005,2024-01..2024-12,1028,658.000000,289.506860,USDJPY,,0,1,hyp005,hyp005|2024-01..2024-12|,FX/results/hyp005_2024-01_2024-12_20251216_050352/config.json
hyp005_2025-01_2025-12_20251216_050404,hyp005,2025-01..2025-12,775,1032.000000,468.772392,USDJPY,,0,1,hyp005,hyp005|2025-01..2025-12|,FX/results/hyp005_2025-01_2025-12_20251216_050404/config.json
