month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,71,27,44,-115.99999999996271,-1.6338028169008834,0.38028169014084506
2025-02,53,23,30,-23.999999999972488,-0.4528301886787262,0.4339622641509434
2025-03,68,25,43,-129.9999999999642,-1.9117647058818263,0.36764705882352944
2025-04,40,8,32,-223.99999999997817,-5.599999999999454,0.2
2025-05,62,28,34,-3.9999999999679403,-0.06451612903174098,0.45161290322580644
2025-06,89,41,48,12.00000000004593,0.13483146067467336,0.4606741573033708
2025-07,99,44,55,-21.999999999948727,-0.22222222222170432,0.4444444444444444
2025-08,60,20,40,-159.99999999996817,-2.6666666666661363,0.3333333333333333
2025-09,79,36,43,2.0000000000408136,0.02531645569671916,0.45569620253164556
2025-10,66,22,44,-175.99999999996498,-2.6666666666661363,0.3333333333333333
2025-11,72,25,47,-169.99999999996191,-2.3611111111105823,0.3472222222222222
2025-12,16,6,10,-27.999999999991587,-1.7499999999994742,0.375
