month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,OUT,85,34,51,-101.99999999995555,-1.199999999999477,0.4
2024-01,W1,3,2,1,14.000000000001478,4.666666666667159,0.6666666666666666
2024-01,W2,1,0,1,-9.999999999999432,-9.999999999999432,0.0
2024-02,OUT,57,20,37,-129.99999999996987,-2.2807017543854364,0.3508771929824561
2024-02,W1,8,4,4,8.000000000004093,1.0000000000005116,0.5
2024-02,W2,8,2,6,-35.99999999999568,-4.49999999999946,0.25
2024-03,OUT,59,23,36,-83.99999999996908,-1.423728813558798,0.3898305084745763
2024-03,W1,16,8,8,16.000000000008185,1.0000000000005116,0.5
2024-03,W2,3,0,3,-29.999999999998295,-9.999999999999432,0.0
2024-04,OUT,87,42,45,54.00000000004468,0.6206896551729273,0.4827586206896552
2024-04,W1,8,4,4,8.000000000004093,1.0000000000005116,0.5
2024-04,W2,17,7,10,-15.999999999991132,-0.9411764705877137,0.4117647058823529
2024-05,OUT,75,33,42,-23.99999999996112,-0.3199999999994816,0.44
2024-05,W1,6,0,6,-59.99999999999659,-9.999999999999432,0.0
2024-05,W2,1,1,0,12.000000000000455,12.000000000000455,1.0
2024-06,OUT,84,41,43,62.00000000004309,0.7380952380957511,0.4880952380952381
2024-06,W1,12,3,9,-53.99999999999352,-4.49999999999946,0.25
2024-06,W2,4,1,3,-17.99999999999784,-4.49999999999946,0.25
2024-07,OUT,56,20,36,-119.99999999997044,-2.142857142856615,0.35714285714285715
2024-07,W2,2,0,2,-19.999999999998863,-9.999999999999432,0.0
2024-08,OUT,60,26,34,-27.99999999996885,-0.4666666666661475,0.43333333333333335
2024-08,W1,9,3,6,-23.999999999995225,-2.6666666666661363,0.3333333333333333
2024-08,W2,9,4,5,-1.9999999999953388,-0.22222222222170432,0.4444444444444444
2024-09,OUT,67,27,40,-75.99999999996498,-1.1343283582084327,0.40298507462686567
2024-09,W1,6,5,1,50.00000000000284,8.333333333333806,0.8333333333333334
2024-09,W2,4,1,3,-17.99999999999784,-4.49999999999946,0.25
2024-10,OUT,120,52,68,-55.9999999999377,-0.4666666666661475,0.43333333333333335
2024-10,W1,9,4,5,-1.9999999999953388,-0.22222222222170432,0.4444444444444444
2024-10,W2,4,2,2,4.000000000002046,1.0000000000005116,0.5
2024-11,OUT,65,31,34,32.000000000033424,0.49230769230820653,0.47692307692307695
2024-11,W1,4,2,2,4.000000000002046,1.0000000000005116,0.5
2024-11,W2,2,0,2,-19.999999999998863,-9.999999999999432,0.0
2024-12,OUT,72,23,49,-213.9999999999617,-2.9722222222216903,0.3194444444444444
2024-12,W1,1,1,0,12.000000000000455,12.000000000000455,1.0
2024-12,W2,4,3,1,26.000000000001933,6.500000000000483,0.75
