side,entry_time,exit_time,entry_price,exit_price,pnl_pips,exit_reason,session,month
buy,2024-01-02 08:28:50+00:00,2024-01-02 08:37:10+00:00,141.399,141.519,12.000000000000455,tp,W1,2024-01
buy,2024-01-02 09:15:00+00:00,2024-01-02 09:24:20+00:00,141.652,141.552,-9.999999999999432,sl,W1,2024-01
buy,2024-01-02 13:42:20+00:00,2024-01-02 13:51:10+00:00,141.95399999999998,142.07399999999998,12.000000000000455,tp,W2,2024-01
buy,2024-01-02 15:07:50+00:00,2024-01-02 15:30:30+00:00,141.625,141.745,12.000000000000455,tp,W2,2024-01
buy,2024-01-02 15:38:40+00:00,2024-01-02 15:48:40+00:00,141.85,141.97,12.000000000000455,tp,W2,2024-01
buy,2024-01-03 08:02:40+00:00,2024-01-03 08:26:10+00:00,142.456,142.576,12.000000000000455,tp,W1,2024-01
buy,2024-01-03 10:51:50+00:00,2024-01-03 11:28:30+00:00,142.67,142.79,12.000000000000455,tp,W1,2024-01
buy,2024-01-03 13:58:50+00:00,2024-01-03 14:17:00+00:00,143.039,143.159,12.000000000000455,tp,W2,2024-01
buy,2024-01-03 15:39:40+00:00,2024-01-03 16:00:00+00:00,143.655,143.555,-9.999999999999432,sl,W2,2024-01
buy,2024-01-04 10:55:40+00:00,2024-01-04 12:08:20+00:00,144.209,144.109,-9.999999999999432,sl,W1,2024-01
buy,2024-01-05 08:10:40+00:00,2024-01-05 08:20:10+00:00,145.01,144.91,-9.999999999999432,sl,W1,2024-01
buy,2024-01-05 08:47:00+00:00,2024-01-05 09:42:00+00:00,145.063,145.183,12.000000000000455,tp,W1,2024-01
buy,2024-01-05 10:11:00+00:00,2024-01-05 10:51:40+00:00,145.28,145.18,-9.999999999999432,sl,W1,2024-01
buy,2024-01-08 14:20:00+00:00,2024-01-08 14:34:40+00:00,144.43699999999998,144.337,-9.999999999999432,sl,W2,2024-01
buy,2024-01-10 08:02:30+00:00,2024-01-10 09:51:20+00:00,144.945,144.845,-9.999999999999432,sl,W1,2024-01
buy,2024-01-10 15:15:40+00:00,2024-01-10 15:25:10+00:00,145.534,145.654,12.000000000000455,tp,W2,2024-01
buy,2024-01-10 15:56:00+00:00,2024-01-10 16:10:30+00:00,145.582,145.702,12.000000000000455,tp,W2,2024-01
buy,2024-01-11 08:03:30+00:00,2024-01-11 08:12:40+00:00,145.46599999999998,145.36599999999999,-9.999999999999432,sl,W1,2024-01
buy,2024-01-11 08:34:00+00:00,2024-01-11 09:00:50+00:00,145.398,145.518,12.000000000000455,tp,W1,2024-01
buy,2024-01-11 13:50:30+00:00,2024-01-11 13:54:00+00:00,145.968,146.088,12.000000000000455,tp,W2,2024-01
buy,2024-01-11 13:58:00+00:00,2024-01-11 14:00:30+00:00,146.15599999999998,146.27599999999998,12.000000000000455,tp,W2,2024-01
buy,2024-01-15 09:51:40+00:00,2024-01-15 11:01:10+00:00,145.74599999999998,145.646,-9.999999999999432,sl,W1,2024-01
buy,2024-01-16 10:49:40+00:00,2024-01-16 11:16:30+00:00,146.73499999999999,146.635,-9.999999999999432,sl,W1,2024-01
