side,entry_time,exit_time,entry_price,exit_price,pnl_pips,exit_reason,session,month
buy,2024-01-02 06:35:30+00:00,2024-01-02 06:55:40+00:00,141.41,141.53,12.000000000000455,tp,OUT,2024-01
buy,2024-01-02 08:28:50+00:00,2024-01-02 08:37:10+00:00,141.399,141.519,12.000000000000455,tp,W1,2024-01
buy,2024-01-02 09:15:00+00:00,2024-01-02 09:24:20+00:00,141.652,141.552,-9.999999999999432,sl,W1,2024-01
buy,2024-01-02 13:42:20+00:00,2024-01-02 13:51:10+00:00,141.95399999999998,142.07399999999998,12.000000000000455,tp,W2,2024-01
buy,2024-01-02 15:07:50+00:00,2024-01-02 15:30:30+00:00,141.625,141.745,12.000000000000455,tp,W2,2024-01
buy,2024-01-02 15:38:40+00:00,2024-01-02 15:48:40+00:00,141.85,141.97,12.000000000000455,tp,W2,2024-01
buy,2024-01-02 17:57:00+00:00,2024-01-02 18:20:40+00:00,141.989,141.889,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-02 18:32:50+00:00,2024-01-02 22:56:00+00:00,141.898,142.018,12.000000000000455,tp,OUT,2024-01
buy,2024-01-03 04:36:00+00:00,2024-01-03 05:50:40+00:00,141.944,142.064,12.000000000000455,tp,OUT,2024-01
buy,2024-01-03 06:45:00+00:00,2024-01-03 07:14:10+00:00,142.10999999999999,142.23,12.000000000000455,tp,OUT,2024-01
buy,2024-01-03 08:02:40+00:00,2024-01-03 08:26:10+00:00,142.456,142.576,12.000000000000455,tp,W1,2024-01
buy,2024-01-03 10:51:50+00:00,2024-01-03 11:28:30+00:00,142.67,142.79,12.000000000000455,tp,W1,2024-01
buy,2024-01-03 11:58:30+00:00,2024-01-03 12:14:20+00:00,142.97299999999998,142.873,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-03 13:58:50+00:00,2024-01-03 14:17:00+00:00,143.039,143.159,12.000000000000455,tp,W2,2024-01
buy,2024-01-03 15:39:40+00:00,2024-01-03 16:00:00+00:00,143.655,143.555,-9.999999999999432,sl,W2,2024-01
buy,2024-01-03 16:58:50+00:00,2024-01-03 17:41:10+00:00,143.54999999999998,143.67,12.000000000000455,tp,OUT,2024-01
buy,2024-01-03 19:41:50+00:00,2024-01-03 20:02:30+00:00,143.303,143.203,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-03 21:01:40+00:00,2024-01-03 22:44:00+00:00,143.249,143.149,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-04 01:46:40+00:00,2024-01-04 03:23:10+00:00,143.42999999999998,143.32999999999998,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-04 03:37:40+00:00,2024-01-04 04:17:50+00:00,143.28199999999998,143.402,12.000000000000455,tp,OUT,2024-01
buy,2024-01-04 10:55:40+00:00,2024-01-04 12:08:20+00:00,144.209,144.109,-9.999999999999432,sl,W1,2024-01
buy,2024-01-04 17:58:30+00:00,2024-01-04 19:49:30+00:00,144.624,144.524,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-05 00:42:20+00:00,2024-01-05 00:54:10+00:00,144.759,144.879,12.000000000000455,tp,OUT,2024-01
buy,2024-01-05 01:31:30+00:00,2024-01-05 01:35:40+00:00,144.822,144.722,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-05 02:57:50+00:00,2024-01-05 03:32:10+00:00,144.82,144.94,12.000000000000455,tp,OUT,2024-01
buy,2024-01-05 06:32:40+00:00,2024-01-05 06:34:50+00:00,145.239,145.139,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-05 06:44:30+00:00,2024-01-05 06:57:20+00:00,145.322,145.222,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-08 03:43:50+00:00,2024-01-08 04:05:40+00:00,144.51399999999998,144.414,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-08 04:11:00+00:00,2024-01-08 05:54:20+00:00,144.487,144.387,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-09 20:43:40+00:00,2024-01-09 23:00:40+00:00,144.46099999999998,144.361,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-10 00:46:40+00:00,2024-01-10 00:52:20+00:00,144.67999999999998,144.57999999999998,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-10 01:28:00+00:00,2024-01-10 02:30:20+00:00,144.77499999999998,144.89499999999998,12.000000000000455,tp,OUT,2024-01
buy,2024-01-10 06:09:00+00:00,2024-01-10 06:16:40+00:00,144.81799999999998,144.938,12.000000000000455,tp,OUT,2024-01
buy,2024-01-10 06:58:20+00:00,2024-01-10 07:03:40+00:00,145.1,145.0,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-10 08:02:30+00:00,2024-01-10 09:51:20+00:00,144.945,144.845,-9.999999999999432,sl,W1,2024-01
buy,2024-01-11 01:28:00+00:00,2024-01-11 01:46:20+00:00,145.53,145.43,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-11 01:59:40+00:00,2024-01-11 02:28:40+00:00,145.358,145.478,12.000000000000455,tp,OUT,2024-01
buy,2024-01-11 08:03:30+00:00,2024-01-11 08:12:40+00:00,145.46599999999998,145.36599999999999,-9.999999999999432,sl,W1,2024-01
buy,2024-01-11 08:34:00+00:00,2024-01-11 09:00:50+00:00,145.398,145.518,12.000000000000455,tp,W1,2024-01
buy,2024-01-11 12:17:30+00:00,2024-01-11 12:28:30+00:00,145.44199999999998,145.34199999999998,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-11 13:50:30+00:00,2024-01-11 13:54:00+00:00,145.968,146.088,12.000000000000455,tp,W2,2024-01
buy,2024-01-11 13:58:00+00:00,2024-01-11 14:00:30+00:00,146.15599999999998,146.27599999999998,12.000000000000455,tp,W2,2024-01
buy,2024-01-11 16:04:00+00:00,2024-01-11 16:05:20+00:00,145.97799999999998,145.878,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-11 16:35:40+00:00,2024-01-11 16:46:40+00:00,146.143,146.043,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-15 09:51:40+00:00,2024-01-15 11:01:10+00:00,145.74599999999998,145.646,-9.999999999999432,sl,W1,2024-01
buy,2024-01-15 11:57:40+00:00,2024-01-15 12:02:40+00:00,145.678,145.798,12.000000000000455,tp,OUT,2024-01
buy,2024-01-16 02:14:50+00:00,2024-01-16 02:23:00+00:00,145.999,146.119,12.000000000000455,tp,OUT,2024-01
buy,2024-01-16 04:35:30+00:00,2024-01-16 04:50:10+00:00,146.20999999999998,146.10999999999999,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-16 05:44:50+00:00,2024-01-16 05:51:30+00:00,146.26999999999998,146.17,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-17 01:05:00+00:00,2024-01-17 01:16:50+00:00,147.385,147.285,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-17 03:13:30+00:00,2024-01-17 05:15:50+00:00,147.334,147.454,12.000000000000455,tp,OUT,2024-01
buy,2024-01-17 06:25:30+00:00,2024-01-17 06:56:10+00:00,147.814,147.714,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-17 07:21:50+00:00,2024-01-17 07:35:10+00:00,147.91799999999998,147.81799999999998,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-18 03:35:50+00:00,2024-01-18 04:00:50+00:00,148.09799999999998,147.998,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-18 06:22:20+00:00,2024-01-18 06:53:00+00:00,147.85999999999999,147.76,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-19 01:04:00+00:00,2024-01-19 01:18:10+00:00,148.042,148.162,12.000000000000455,tp,OUT,2024-01
buy,2024-01-19 01:22:00+00:00,2024-01-19 01:47:50+00:00,148.249,148.369,12.000000000000455,tp,OUT,2024-01
buy,2024-01-19 02:04:40+00:00,2024-01-19 02:25:10+00:00,148.398,148.298,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-19 02:55:20+00:00,2024-01-19 04:23:50+00:00,148.221,148.341,12.000000000000455,tp,OUT,2024-01
buy,2024-01-19 04:40:00+00:00,2024-01-19 05:20:00+00:00,148.31699999999998,148.43699999999998,12.000000000000455,tp,OUT,2024-01
buy,2024-01-19 08:09:40+00:00,2024-01-19 08:28:00+00:00,148.20499999999998,148.325,12.000000000000455,tp,W1,2024-01
buy,2024-01-19 09:02:50+00:00,2024-01-19 09:07:20+00:00,148.106,148.006,-9.999999999999432,sl,W1,2024-01
buy,2024-01-19 10:30:00+00:00,2024-01-19 11:19:40+00:00,147.968,148.088,12.000000000000455,tp,W1,2024-01
buy,2024-01-19 13:54:40+00:00,2024-01-19 14:23:40+00:00,148.158,148.278,12.000000000000455,tp,W2,2024-01
buy,2024-01-19 14:41:40+00:00,2024-01-19 14:53:50+00:00,148.434,148.334,-9.999999999999432,sl,W2,2024-01
buy,2024-01-19 17:51:00+00:00,2024-01-19 18:39:40+00:00,148.177,148.297,12.000000000000455,tp,OUT,2024-01
buy,2024-01-19 20:43:50+00:00,2024-01-19 21:15:30+00:00,148.194,148.094,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-19 21:33:50+00:00,2024-01-21 22:02:50+00:00,148.119,148.239,12.000000000000455,tp,OUT,2024-01
buy,2024-01-22 00:30:00+00:00,2024-01-22 00:39:30+00:00,148.20999999999998,148.10999999999999,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-23 02:16:40+00:00,2024-01-23 02:35:30+00:00,148.201,148.101,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-23 02:58:00+00:00,2024-01-23 03:09:00+00:00,148.253,148.153,-9.999999999999432,sl_both,OUT,2024-01
buy,2024-01-24 00:12:50+00:00,2024-01-24 00:39:00+00:00,148.197,148.097,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-24 00:45:30+00:00,2024-01-24 01:15:20+00:00,148.131,148.031,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-26 00:10:00+00:00,2024-01-26 00:28:20+00:00,147.838,147.738,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-26 07:20:00+00:00,2024-01-26 07:27:40+00:00,147.875,147.775,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-28 22:18:40+00:00,2024-01-29 00:03:10+00:00,148.099,148.219,12.000000000000455,tp,OUT,2024-01
buy,2024-01-29 00:33:20+00:00,2024-01-29 00:47:20+00:00,148.322,148.222,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-29 02:19:00+00:00,2024-01-29 02:37:40+00:00,148.22299999999998,148.123,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-31 07:01:30+00:00,2024-01-31 07:12:20+00:00,147.89399999999998,147.79399999999998,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-31 07:43:00+00:00,2024-01-31 07:45:00+00:00,147.75799999999998,147.658,-9.999999999999432,sl,OUT,2024-01
buy,2024-02-02 15:17:50+00:00,2024-02-02 15:31:20+00:00,148.184,148.304,12.000000000000455,tp,W2,2024-02
buy,2024-02-02 16:01:50+00:00,2024-02-02 16:32:30+00:00,148.267,148.387,12.000000000000455,tp,OUT,2024-02
buy,2024-02-02 18:58:40+00:00,2024-02-04 22:22:50+00:00,148.327,148.447,12.000000000000455,tp,OUT,2024-02
buy,2024-02-05 02:18:00+00:00,2024-02-05 03:48:10+00:00,148.469,148.369,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-05 05:02:50+00:00,2024-02-05 05:22:10+00:00,148.459,148.359,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-06 02:55:50+00:00,2024-02-06 04:34:00+00:00,148.57399999999998,148.474,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-06 07:01:40+00:00,2024-02-06 08:06:30+00:00,148.447,148.567,12.000000000000455,tp,OUT,2024-02
buy,2024-02-06 10:09:20+00:00,2024-02-06 12:59:10+00:00,148.689,148.589,-9.999999999999432,sl,W1,2024-02
buy,2024-02-06 13:22:50+00:00,2024-02-06 14:47:40+00:00,148.535,148.435,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-08 02:44:40+00:00,2024-02-08 04:55:10+00:00,148.363,148.483,12.000000000000455,tp,OUT,2024-02
buy,2024-02-08 05:09:00+00:00,2024-02-08 06:15:40+00:00,148.542,148.662,12.000000000000455,tp,OUT,2024-02
buy,2024-02-08 07:42:50+00:00,2024-02-08 08:02:50+00:00,148.789,148.689,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-08 08:17:20+00:00,2024-02-08 09:00:50+00:00,148.816,148.716,-9.999999999999432,sl,W1,2024-02
buy,2024-02-09 01:40:30+00:00,2024-02-09 03:50:00+00:00,149.31799999999998,149.438,12.000000000000455,tp,OUT,2024-02
buy,2024-02-09 04:42:40+00:00,2024-02-09 07:01:20+00:00,149.42,149.32,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-09 08:10:50+00:00,2024-02-09 09:02:30+00:00,149.47,149.37,-9.999999999999432,sl,W1,2024-02
buy,2024-02-12 16:02:30+00:00,2024-02-12 16:31:00+00:00,149.47299999999998,149.373,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-12 19:29:50+00:00,2024-02-13 02:40:50+00:00,149.346,149.466,12.000000000000455,tp,OUT,2024-02
buy,2024-02-13 03:20:30+00:00,2024-02-13 07:23:50+00:00,149.509,149.629,12.000000000000455,tp,OUT,2024-02
buy,2024-02-13 14:52:30+00:00,2024-02-13 15:28:50+00:00,150.53699999999998,150.43699999999998,-9.999999999999432,sl,W2,2024-02
buy,2024-02-13 20:39:00+00:00,2024-02-13 22:58:10+00:00,150.755,150.655,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-14 00:04:40+00:00,2024-02-14 00:09:50+00:00,150.774,150.674,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-14 01:45:40+00:00,2024-02-14 04:13:30+00:00,150.57299999999998,150.47299999999998,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-16 06:13:50+00:00,2024-02-16 07:15:40+00:00,150.266,150.166,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-16 08:36:20+00:00,2024-02-16 11:38:30+00:00,150.26299999999998,150.16299999999998,-9.999999999999432,sl,W1,2024-02
buy,2024-02-20 00:08:50+00:00,2024-02-20 02:25:10+00:00,150.23499999999999,150.355,12.000000000000455,tp,OUT,2024-02
buy,2024-02-20 03:37:40+00:00,2024-02-20 10:16:50+00:00,150.332,150.232,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-21 18:32:50+00:00,2024-02-21 19:03:20+00:00,150.332,150.232,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-21 19:45:30+00:00,2024-02-21 22:42:00+00:00,150.21599999999998,150.33599999999998,12.000000000000455,tp,OUT,2024-02
buy,2024-02-21 22:43:40+00:00,2024-02-22 04:47:00+00:00,150.35299999999998,150.253,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-22 13:14:00+00:00,2024-02-22 13:30:00+00:00,150.434,150.554,12.000000000000455,tp,OUT,2024-02
buy,2024-02-22 16:05:00+00:00,2024-02-22 17:05:20+00:00,150.527,150.647,12.000000000000455,tp,OUT,2024-02
buy,2024-02-23 00:26:00+00:00,2024-02-23 00:37:20+00:00,150.42399999999998,150.54399999999998,12.000000000000455,tp,OUT,2024-02
buy,2024-02-23 03:02:00+00:00,2024-02-23 06:01:10+00:00,150.505,150.625,12.000000000000455,tp,OUT,2024-02
buy,2024-02-23 13:55:30+00:00,2024-02-23 14:32:50+00:00,150.495,150.395,-9.999999999999432,sl,W2,2024-02
buy,2024-02-23 16:59:00+00:00,2024-02-23 20:14:10+00:00,150.369,150.489,12.000000000000455,tp,OUT,2024-02
buy,2024-02-23 21:53:00+00:00,2024-02-25 22:04:00+00:00,150.541,150.441,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-25 22:31:40+00:00,2024-02-25 23:03:50+00:00,150.432,150.552,12.000000000000455,tp,OUT,2024-02
buy,2024-02-26 03:00:50+00:00,2024-02-26 05:21:00+00:00,150.501,150.401,-9.999999999999432,sl,OUT,2024-02
buy,2024-02-26 08:02:00+00:00,2024-02-26 09:14:00+00:00,150.489,150.609,12.000000000000455,tp,W1,2024-02
