side,entry_time,exit_time,entry_price,exit_price,pnl_pips,exit_reason,session,month
buy,2024-01-02 08:26:00+00:00,2024-01-02 08:36:10+00:00,141.34799999999998,141.468,12.000000000000455,tp,W1,2024-01
buy,2024-01-02 08:36:20+00:00,2024-01-02 09:11:00+00:00,141.477,141.597,12.000000000000455,tp,W1,2024-01
buy,2024-01-02 09:11:40+00:00,2024-01-02 09:30:10+00:00,141.613,141.513,-9.999999999999432,sl,W1,2024-01
buy,2024-01-02 09:46:10+00:00,2024-01-02 10:10:00+00:00,141.486,141.606,12.000000000000455,tp,W1,2024-01
buy,2024-01-02 10:10:10+00:00,2024-01-02 10:18:10+00:00,141.612,141.732,12.000000000000455,tp,W1,2024-01
buy,2024-01-02 10:39:00+00:00,2024-01-02 10:48:00+00:00,141.67399999999998,141.57399999999998,-9.999999999999432,sl,W1,2024-01
buy,2024-01-02 10:54:10+00:00,2024-01-02 11:30:30+00:00,141.642,141.762,12.000000000000455,tp,W1,2024-01
buy,2024-01-02 13:41:30+00:00,2024-01-02 13:51:50+00:00,141.969,142.089,12.000000000000455,tp,W2,2024-01
buy,2024-01-02 13:52:20+00:00,2024-01-02 14:04:00+00:00,142.11599999999999,142.016,-9.999999999999432,sl,W2,2024-01
buy,2024-01-02 15:04:30+00:00,2024-01-02 15:30:40+00:00,141.636,141.756,12.000000000000455,tp,W2,2024-01
buy,2024-01-02 15:41:10+00:00,2024-01-02 16:07:20+00:00,141.932,141.832,-9.999999999999432,sl,W2,2024-01
buy,2024-01-03 08:01:10+00:00,2024-01-03 08:28:10+00:00,142.46699999999998,142.587,12.000000000000455,tp,W1,2024-01
buy,2024-01-03 08:30:20+00:00,2024-01-03 09:31:20+00:00,142.62099999999998,142.521,-9.999999999999432,sl,W1,2024-01
buy,2024-01-03 09:40:40+00:00,2024-01-03 10:16:20+00:00,142.59699999999998,142.71699999999998,12.000000000000455,tp,W1,2024-01
buy,2024-01-03 10:20:20+00:00,2024-01-03 10:34:20+00:00,142.803,142.703,-9.999999999999432,sl,W1,2024-01
buy,2024-01-03 13:42:10+00:00,2024-01-03 13:57:00+00:00,142.922,143.042,12.000000000000455,tp,W2,2024-01
buy,2024-01-03 13:57:10+00:00,2024-01-03 14:17:10+00:00,143.053,143.173,12.000000000000455,tp,W2,2024-01
buy,2024-01-03 14:54:10+00:00,2024-01-03 14:56:00+00:00,143.319,143.219,-9.999999999999432,sl,W2,2024-01
buy,2024-01-03 15:09:20+00:00,2024-01-03 15:13:40+00:00,143.066,143.186,12.000000000000455,tp,W2,2024-01
buy,2024-01-03 15:13:50+00:00,2024-01-03 15:20:10+00:00,143.19799999999998,143.31799999999998,12.000000000000455,tp,W2,2024-01
buy,2024-01-03 15:33:10+00:00,2024-01-03 15:50:20+00:00,143.589,143.709,12.000000000000455,tp,W2,2024-01
buy,2024-01-04 08:33:10+00:00,2024-01-04 08:50:30+00:00,143.588,143.488,-9.999999999999432,sl,W1,2024-01
buy,2024-01-04 08:57:20+00:00,2024-01-04 09:06:40+00:00,143.599,143.719,12.000000000000455,tp,W1,2024-01
buy,2024-01-04 09:07:20+00:00,2024-01-04 10:01:30+00:00,143.779,143.899,12.000000000000455,tp,W1,2024-01
buy,2024-01-04 10:04:20+00:00,2024-01-04 10:42:10+00:00,143.98499999999999,144.105,12.000000000000455,tp,W1,2024-01
buy,2024-01-04 10:44:00+00:00,2024-01-04 10:56:10+00:00,144.09699999999998,144.21699999999998,12.000000000000455,tp,W1,2024-01
buy,2024-01-04 13:31:40+00:00,2024-01-04 13:45:00+00:00,144.397,144.517,12.000000000000455,tp,W2,2024-01
buy,2024-01-04 13:45:10+00:00,2024-01-04 13:48:30+00:00,144.53099999999998,144.43099999999998,-9.999999999999432,sl,W2,2024-01
buy,2024-01-04 14:05:40+00:00,2024-01-04 14:30:40+00:00,144.65099999999998,144.771,12.000000000000455,tp,W2,2024-01
buy,2024-01-04 14:30:50+00:00,2024-01-04 15:01:40+00:00,144.779,144.679,-9.999999999999432,sl,W2,2024-01
buy,2024-01-04 15:34:30+00:00,2024-01-04 15:53:10+00:00,144.571,144.691,12.000000000000455,tp,W2,2024-01
buy,2024-01-04 15:53:20+00:00,2024-01-04 16:00:30+00:00,144.70999999999998,144.60999999999999,-9.999999999999432,sl,W2,2024-01
buy,2024-01-05 08:09:20+00:00,2024-01-05 08:20:10+00:00,145.017,144.917,-9.999999999999432,sl,W1,2024-01
buy,2024-01-05 08:28:10+00:00,2024-01-05 09:00:30+00:00,145.012,145.132,12.000000000000455,tp,W1,2024-01
buy,2024-01-05 09:06:50+00:00,2024-01-05 09:10:40+00:00,145.179,145.079,-9.999999999999432,sl,W1,2024-01
buy,2024-01-05 09:22:20+00:00,2024-01-05 09:37:10+00:00,145.125,145.025,-9.999999999999432,sl,W1,2024-01
buy,2024-01-08 08:14:00+00:00,2024-01-08 08:31:00+00:00,144.57999999999998,144.48,-9.999999999999432,sl,W1,2024-01
buy,2024-01-08 08:43:10+00:00,2024-01-08 09:38:00+00:00,144.512,144.412,-9.999999999999432,sl,W1,2024-01
buy,2024-01-09 08:07:10+00:00,2024-01-09 08:13:20+00:00,144.158,144.278,12.000000000000455,tp,W1,2024-01
buy,2024-01-09 08:27:40+00:00,2024-01-09 08:30:10+00:00,144.28,144.18,-9.999999999999432,sl,W1,2024-01
buy,2024-01-09 09:43:30+00:00,2024-01-09 10:01:30+00:00,143.885,144.005,12.000000000000455,tp,W1,2024-01
buy,2024-01-09 10:40:10+00:00,2024-01-09 10:55:40+00:00,143.944,144.064,12.000000000000455,tp,W1,2024-01
buy,2024-01-09 10:56:10+00:00,2024-01-09 11:26:50+00:00,144.081,143.981,-9.999999999999432,sl,W1,2024-01
buy,2024-01-09 14:20:20+00:00,2024-01-09 14:30:40+00:00,143.856,143.756,-9.999999999999432,sl,W2,2024-01
buy,2024-01-10 08:42:40+00:00,2024-01-10 09:10:30+00:00,145.048,144.948,-9.999999999999432,sl,W1,2024-01
buy,2024-01-10 09:23:20+00:00,2024-01-10 09:51:10+00:00,144.96699999999998,144.867,-9.999999999999432,sl,W1,2024-01
buy,2024-01-11 08:02:30+00:00,2024-01-11 08:12:30+00:00,145.482,145.382,-9.999999999999432,sl,W1,2024-01
buy,2024-01-11 08:48:10+00:00,2024-01-11 10:08:20+00:00,145.46599999999998,145.58599999999998,12.000000000000455,tp,W1,2024-01
buy,2024-01-11 10:08:30+00:00,2024-01-11 10:23:00+00:00,145.599,145.499,-9.999999999999432,sl,W1,2024-01
buy,2024-01-11 10:41:10+00:00,2024-01-11 11:22:40+00:00,145.481,145.381,-9.999999999999432,sl,W1,2024-01
buy,2024-01-12 08:22:10+00:00,2024-01-12 09:31:40+00:00,144.971,145.091,12.000000000000455,tp,W1,2024-01
buy,2024-01-12 09:57:40+00:00,2024-01-12 11:45:20+00:00,145.14499999999998,145.265,12.000000000000455,tp,W1,2024-01
buy,2024-01-12 13:50:40+00:00,2024-01-12 13:52:00+00:00,145.04,144.94,-9.999999999999432,sl,W2,2024-01
buy,2024-01-12 14:50:10+00:00,2024-01-12 15:00:40+00:00,144.50199999999998,144.62199999999999,12.000000000000455,tp,W2,2024-01
buy,2024-01-12 15:27:20+00:00,2024-01-12 15:37:40+00:00,144.54899999999998,144.66899999999998,12.000000000000455,tp,W2,2024-01
buy,2024-01-12 15:37:50+00:00,2024-01-12 15:43:30+00:00,144.67999999999998,144.79999999999998,12.000000000000455,tp,W2,2024-01
buy,2024-01-15 08:16:20+00:00,2024-01-15 09:03:10+00:00,145.408,145.528,12.000000000000455,tp,W1,2024-01
buy,2024-01-15 09:03:20+00:00,2024-01-15 09:44:00+00:00,145.542,145.662,12.000000000000455,tp,W1,2024-01
buy,2024-01-15 09:45:10+00:00,2024-01-15 11:25:10+00:00,145.71599999999998,145.61599999999999,-9.999999999999432,sl,W1,2024-01
buy,2024-01-15 13:39:20+00:00,2024-01-15 13:53:00+00:00,145.856,145.756,-9.999999999999432,sl,W2,2024-01
buy,2024-01-16 08:27:20+00:00,2024-01-16 08:33:50+00:00,146.13,146.25,12.000000000000455,tp,W1,2024-01
buy,2024-01-16 08:34:00+00:00,2024-01-16 08:37:30+00:00,146.267,146.387,12.000000000000455,tp,W1,2024-01
buy,2024-01-16 08:37:40+00:00,2024-01-16 09:06:20+00:00,146.39999999999998,146.51999999999998,12.000000000000455,tp,W1,2024-01
buy,2024-01-16 09:06:30+00:00,2024-01-16 09:15:00+00:00,146.534,146.434,-9.999999999999432,sl,W1,2024-01
buy,2024-01-16 09:35:30+00:00,2024-01-16 09:48:00+00:00,146.49599999999998,146.61599999999999,12.000000000000455,tp,W1,2024-01
buy,2024-01-16 10:01:10+00:00,2024-01-16 10:40:40+00:00,146.588,146.708,12.000000000000455,tp,W1,2024-01
buy,2024-01-16 10:40:50+00:00,2024-01-16 11:00:10+00:00,146.743,146.643,-9.999999999999432,sl,W1,2024-01
buy,2024-01-16 13:47:50+00:00,2024-01-16 13:50:50+00:00,146.536,146.436,-9.999999999999432,sl,W2,2024-01
buy,2024-01-17 08:08:40+00:00,2024-01-17 08:13:10+00:00,147.86499999999998,147.765,-9.999999999999432,sl,W1,2024-01
buy,2024-01-17 08:44:10+00:00,2024-01-17 09:27:00+00:00,147.82999999999998,147.73,-9.999999999999432,sl,W1,2024-01
buy,2024-01-18 08:10:30+00:00,2024-01-18 08:33:30+00:00,147.81799999999998,147.938,12.000000000000455,tp,W1,2024-01
buy,2024-01-18 08:36:10+00:00,2024-01-18 08:46:20+00:00,147.95999999999998,147.85999999999999,-9.999999999999432,sl,W1,2024-01
buy,2024-01-18 08:50:10+00:00,2024-01-18 09:13:30+00:00,147.92499999999998,147.825,-9.999999999999432,sl,W1,2024-01
buy,2024-01-19 08:20:10+00:00,2024-01-19 08:53:20+00:00,148.268,148.168,-9.999999999999432,sl,W1,2024-01
buy,2024-01-19 09:25:10+00:00,2024-01-19 09:53:50+00:00,148.081,147.981,-9.999999999999432,sl,W1,2024-01
buy,2024-01-22 08:00:10+00:00,2024-01-22 08:34:10+00:00,148.07999999999998,148.2,12.000000000000455,tp,W1,2024-01
buy,2024-01-22 08:34:20+00:00,2024-01-22 09:17:10+00:00,148.20399999999998,148.10399999999998,-9.999999999999432,sl,W1,2024-01
buy,2024-01-22 09:41:40+00:00,2024-01-22 10:30:40+00:00,148.126,148.026,-9.999999999999432,sl,W1,2024-01
buy,2024-01-23 08:01:20+00:00,2024-01-23 08:06:10+00:00,147.642,147.542,-9.999999999999432,sl,W1,2024-01
buy,2024-01-23 08:27:10+00:00,2024-01-23 08:30:50+00:00,147.50799999999998,147.408,-9.999999999999432,sl,W1,2024-01
buy,2024-01-24 08:50:10+00:00,2024-01-24 09:17:00+00:00,147.59199999999998,147.492,-9.999999999999432,sl,W1,2024-01
buy,2024-01-24 09:27:10+00:00,2024-01-24 09:36:20+00:00,147.49699999999999,147.397,-9.999999999999432,sl,W1,2024-01
buy,2024-01-25 08:00:30+00:00,2024-01-25 08:20:00+00:00,147.706,147.826,12.000000000000455,tp,W1,2024-01
buy,2024-01-25 08:20:10+00:00,2024-01-25 08:32:40+00:00,147.84099999999998,147.74099999999999,-9.999999999999432,sl,W1,2024-01
buy,2024-01-25 08:48:00+00:00,2024-01-25 09:30:40+00:00,147.721,147.621,-9.999999999999432,sl,W1,2024-01
buy,2024-01-26 08:08:10+00:00,2024-01-26 08:12:00+00:00,147.86599999999999,147.766,-9.999999999999432,sl,W1,2024-01
buy,2024-01-26 08:28:10+00:00,2024-01-26 09:06:00+00:00,147.825,147.945,12.000000000000455,tp,W1,2024-01
buy,2024-01-26 09:09:00+00:00,2024-01-26 09:31:10+00:00,147.983,147.883,-9.999999999999432,sl,W1,2024-01
