side,entry_time,exit_time,entry_price,exit_price,pnl_pips,exit_reason,session,month
buy,2025-01-02 08:01:20+00:00,2025-01-02 08:08:10+00:00,156.78799999999998,156.688,-9.999999999999432,sl,W1,2025-01
buy,2025-01-02 08:40:40+00:00,2025-01-02 08:51:40+00:00,156.625,156.745,12.000000000000455,tp,W1,2025-01
buy,2025-01-02 08:51:50+00:00,2025-01-02 09:04:50+00:00,156.767,156.887,12.000000000000455,tp,W1,2025-01
buy,2025-01-02 09:05:20+00:00,2025-01-02 09:13:00+00:00,156.90699999999998,156.807,-9.999999999999432,sl,W1,2025-01
buy,2025-01-02 09:22:10+00:00,2025-01-02 10:17:10+00:00,156.84,156.96,12.000000000000455,tp,W1,2025-01
buy,2025-01-02 10:17:20+00:00,2025-01-02 10:23:50+00:00,156.97,156.87,-9.999999999999432,sl,W1,2025-01
buy,2025-01-02 10:32:10+00:00,2025-01-02 10:47:20+00:00,156.94,157.06,12.000000000000455,tp,W1,2025-01
buy,2025-01-02 10:47:30+00:00,2025-01-02 11:25:50+00:00,157.06799999999998,157.188,12.000000000000455,tp,W1,2025-01
buy,2025-01-02 13:31:10+00:00,2025-01-02 13:32:50+00:00,157.063,157.183,12.000000000000455,tp,W2,2025-01
buy,2025-01-02 13:33:00+00:00,2025-01-02 13:34:00+00:00,157.212,157.112,-9.999999999999432,sl,W2,2025-01
buy,2025-01-02 13:52:10+00:00,2025-01-02 14:02:10+00:00,156.82999999999998,156.95,12.000000000000455,tp,W2,2025-01
buy,2025-01-02 14:13:20+00:00,2025-01-02 14:17:00+00:00,157.01999999999998,156.92,-9.999999999999432,sl,W2,2025-01
buy,2025-01-02 14:42:30+00:00,2025-01-02 14:49:00+00:00,156.95499999999998,157.075,12.000000000000455,tp,W2,2025-01
buy,2025-01-02 14:49:10+00:00,2025-01-02 15:08:00+00:00,157.099,156.999,-9.999999999999432,sl,W2,2025-01
buy,2025-01-02 15:27:10+00:00,2025-01-02 15:33:50+00:00,156.958,157.078,12.000000000000455,tp,W2,2025-01
buy,2025-01-02 15:34:00+00:00,2025-01-02 16:02:00+00:00,157.076,157.196,12.000000000000455,tp,W2,2025-01
buy,2025-01-03 08:06:10+00:00,2025-01-03 08:21:40+00:00,157.213,157.333,12.000000000000455,tp,W1,2025-01
buy,2025-01-03 08:21:50+00:00,2025-01-03 09:10:40+00:00,157.34199999999998,157.242,-9.999999999999432,sl,W1,2025-01
buy,2025-01-03 09:18:10+00:00,2025-01-03 09:20:20+00:00,157.237,157.137,-9.999999999999432,sl,W1,2025-01
buy,2025-01-06 08:24:40+00:00,2025-01-06 08:55:30+00:00,157.749,157.649,-9.999999999999432,sl,W1,2025-01
buy,2025-01-06 09:07:40+00:00,2025-01-06 10:26:00+00:00,157.677,157.797,12.000000000000455,tp,W1,2025-01
