month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,39,19,20,28.00000000002001,0.717948717949231,0.48717948717948717
2024-02,28,7,21,-125.99999999998488,-4.49999999999946,0.25
2024-03,23,8,15,-53.999999999987836,-2.347826086955993,0.34782608695652173
2024-04,33,14,19,-21.999999999982833,-0.6666666666661465,0.42424242424242425
2024-05,19,8,11,-13.99999999999011,-0.7368421052626374,0.42105263157894735
2024-06,37,12,25,-105.99999999998033,-2.8648648648643333,0.32432432432432434
2024-07,13,4,9,-41.999999999993065,-3.2307692307686975,0.3076923076923077
2024-08,22,10,12,1.1368683772161603e-11,5.167583532800729e-13,0.45454545454545453
2024-09,29,10,19,-69.99999999998465,-2.4137931034477464,0.3448275862068966
2024-10,49,20,29,-49.99999999997442,-1.0204081632647841,0.40816326530612246
2024-11,16,4,12,-71.99999999999136,-4.49999999999946,0.25
2024-12,36,16,20,-7.999999999981355,-0.22222222222170432,0.4444444444444444
