month,sum_pnl_pips,trades,h1_uptrend_ratio
2025-01,-3.999999999996362,7,0.3583436957343427
2025-02,-21.9999999999942,11,0.26975792417277755
2025-03,8.000000000004093,8,0.4903302520479972
2025-04,-53.99999999999352,12,0.2867440014785662
2025-05,56.00000000000591,12,0.4012566430469442
2025-06,78.0000000000058,12,0.5180307813050027
2025-07,22.000000000011255,22,0.6467766848223722
2025-08,32.000000000005,10,0.33257769696389694
2025-09,6.000000000008754,17,0.46492224931614806
2025-10,40.000000000009095,18,0.5682235354993328
2025-11,-31.999999999993634,12,0.5683660556550938
2025-12,60.000000000002274,5,0.4356252079800973
