month,max_true_run_hours,mean_true_run_hours,p90_true_run_hours,true_runs_count,total_true_hours,total_hours,true_ratio
2025-01,5.719444444444444,0.0988634989723129,0.21944444444444444,1838,181.7111111111111,507.0861111111111,0.3583436957343427
2025-02,8.41388888888889,0.19726610496752678,0.41944444444444445,633,124.86944444444444,462.89444444444445,0.26975792417277755
2025-03,11.477777777777778,0.10849524387775752,0.18888888888888888,2196,238.25555555555556,485.90833333333336,0.49033025204799713
2025-04,11.894444444444444,0.15391573295985064,0.21055555555555544,952,146.52777777777777,511.00555555555553,0.2867440014785662
2025-05,11.08611111111111,0.10143157010915198,0.15166666666666706,1985,201.34166666666667,501.77777777777777,0.4012566430469442
2025-06,5.466666666666667,0.08167558321505258,0.1638888888888889,3053,249.35555555555555,481.35277777777776,0.5180307813050027
2025-07,4.366666666666666,0.06316692073170732,0.125,5248,331.5,512.5416666666666,0.6467766848223722
2025-08,3.6694444444444443,0.051194159024785475,0.1111111111111111,3017,154.45277777777778,464.4111111111111,0.33257769696389694
2025-09,4.75,0.05333660901467505,0.09444444444444444,4240,226.1472222222222,486.4194444444444,0.46492224931614806
2025-10,4.836111111111111,0.050768414700615126,0.08888888888888889,5708,289.7861111111111,509.9861111111111,0.5682235354993328
2025-11,5.655555555555556,0.04707951927268198,0.09444444444444444,5353,252.01666666666668,443.40555555555557,0.5683660556550938
2025-12,3.0527777777777776,0.041524681288139687,0.08333333333333333,1839,76.3638888888889,175.29722222222222,0.43562520798009735
