side,entry_time,exit_time,entry_price,exit_price,pnl_pips,exit_reason,session,month
buy,2025-01-06 09:18:50+00:00,2025-01-06 10:28:30+00:00,157.73399999999998,157.85399999999998,12.000000000000455,tp,W1,2025-01
buy,2025-01-07 15:11:00+00:00,2025-01-07 15:15:30+00:00,158.35299999999998,158.253,-9.999999999999432,sl,W2,2025-01
buy,2025-01-08 08:28:20+00:00,2025-01-08 09:05:50+00:00,158.197,158.097,-9.999999999999432,sl,W1,2025-01
buy,2025-01-08 10:40:40+00:00,2025-01-08 11:27:00+00:00,158.29299999999998,158.41299999999998,12.000000000000455,tp,W1,2025-01
buy,2025-01-08 14:07:50+00:00,2025-01-08 14:16:50+00:00,158.227,158.347,12.000000000000455,tp,W2,2025-01
buy,2025-01-08 15:32:50+00:00,2025-01-08 18:03:10+00:00,158.38299999999998,158.283,-9.999999999999432,sl,W2,2025-01
buy,2025-01-09 10:18:00+00:00,2025-01-09 11:12:40+00:00,158.04399999999998,157.944,-9.999999999999432,sl,W1,2025-01
buy,2025-01-20 09:19:40+00:00,2025-01-20 10:56:30+00:00,156.283,156.403,12.000000000000455,tp,W1,2025-01
buy,2025-01-22 14:29:40+00:00,2025-01-22 14:35:10+00:00,155.989,156.109,12.000000000000455,tp,W2,2025-01
buy,2025-01-22 14:44:40+00:00,2025-01-22 14:50:10+00:00,156.147,156.047,-9.999999999999432,sl,W2,2025-01
buy,2025-01-22 15:46:00+00:00,2025-01-22 16:16:20+00:00,156.35899999999998,156.47899999999998,12.000000000000455,tp,W2,2025-01
buy,2025-01-23 13:45:40+00:00,2025-01-23 14:12:30+00:00,156.185,156.305,12.000000000000455,tp,W2,2025-01
buy,2025-01-23 14:23:50+00:00,2025-01-23 14:40:50+00:00,156.27499999999998,156.39499999999998,12.000000000000455,tp,W2,2025-01
buy,2025-01-23 15:33:00+00:00,2025-01-23 15:37:50+00:00,156.464,156.364,-9.999999999999432,sl,W2,2025-01
buy,2025-01-28 08:03:00+00:00,2025-01-28 08:06:20+00:00,155.92999999999998,155.82999999999998,-9.999999999999432,sl,W1,2025-01
buy,2025-01-31 10:12:00+00:00,2025-01-31 11:07:00+00:00,154.743,154.643,-9.999999999999432,sl,W1,2025-01
buy,2025-01-31 14:11:30+00:00,2025-01-31 14:36:40+00:00,154.86499999999998,154.765,-9.999999999999432,sl,W2,2025-01
buy,2025-02-03 08:20:00+00:00,2025-02-03 08:23:30+00:00,155.64999999999998,155.54999999999998,-9.999999999999432,sl,W1,2025-02
buy,2025-02-04 08:12:00+00:00,2025-02-04 08:29:10+00:00,155.458,155.358,-9.999999999999432,sl,W1,2025-02
buy,2025-02-04 08:56:20+00:00,2025-02-04 09:21:30+00:00,155.214,155.114,-9.999999999999432,sl,W1,2025-02
buy,2025-02-04 10:02:00+00:00,2025-02-04 10:25:50+00:00,155.34699999999998,155.24699999999999,-9.999999999999432,sl,W1,2025-02
buy,2025-02-10 08:17:00+00:00,2025-02-10 08:31:30+00:00,152.35999999999999,152.48,12.000000000000455,tp,W1,2025-02
buy,2025-02-10 10:28:30+00:00,2025-02-10 10:34:10+00:00,152.30599999999998,152.206,-9.999999999999432,sl,W1,2025-02
buy,2025-02-11 13:38:30+00:00,2025-02-11 13:59:30+00:00,152.415,152.315,-9.999999999999432,sl,W2,2025-02
buy,2025-02-11 14:10:00+00:00,2025-02-11 14:25:00+00:00,152.327,152.447,12.000000000000455,tp,W2,2025-02
buy,2025-02-12 14:22:50+00:00,2025-02-12 14:27:40+00:00,154.328,154.228,-9.999999999999432,sl,W2,2025-02
buy,2025-02-12 14:37:20+00:00,2025-02-12 14:46:30+00:00,154.22899999999998,154.349,12.000000000000455,tp,W2,2025-02
buy,2025-02-12 14:53:50+00:00,2025-02-12 15:12:40+00:00,154.41199999999998,154.53199999999998,12.000000000000455,tp,W2,2025-02
buy,2025-02-13 10:53:00+00:00,2025-02-13 13:30:00+00:00,153.819,153.719,-9.999999999999432,sl_both,W1,2025-02
buy,2025-02-27 10:12:00+00:00,2025-02-27 11:32:20+00:00,149.878,149.778,-9.999999999999432,sl,W1,2025-02
buy,2025-02-27 15:14:50+00:00,2025-02-27 15:22:20+00:00,149.856,149.976,12.000000000000455,tp,W2,2025-02
