month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,70,26,44,-127.99999999996317,-1.8285714285709023,0.37142857142857144
2025-02,55,24,31,-21.999999999971465,-0.39999999999948116,0.43636363636363634
2025-03,64,23,41,-133.99999999996624,-2.0937499999994724,0.359375
2025-04,46,11,35,-217.9999999999751,-4.7391304347820675,0.2391304347826087
2025-05,71,31,40,-27.999999999963165,-0.3943661971825798,0.43661971830985913
2025-06,97,42,55,-45.99999999994964,-0.4742268041231921,0.4329896907216495
2025-07,82,31,51,-137.9999999999569,-1.6829268292677673,0.3780487804878049
2025-08,60,21,39,-137.99999999996828,-2.2999999999994714,0.35
2025-09,61,21,40,-147.9999999999677,-2.426229508196192,0.3442622950819672
2025-10,69,21,48,-227.99999999996317,-3.3043478260864227,0.30434782608695654
2025-11,72,27,45,-125.99999999996214,-1.7499999999994742,0.375
2025-12,34,16,18,12.000000000017508,0.3529411764711032,0.47058823529411764
